"","r","lambda","lp__"
"1",0.255281082916527,1.16252222978313,-3.16372545078016
"2",-0.0362146726888196,0.820218794370377,-3.02312215365261
"3",0.786298199512795,0.980778499356191,-3.42226272853368
"4",0.0018675383033312,0.947870223394701,-3.01788893066322
"5",-0.854175517251576,0.544558985435941,-3.52500820095669
"6",-0.497832784896566,0.229504012408417,-4.19492972427007
"7",-1.18615996989402,0.468737077848067,-3.96871261316521
"8",-0.510510766988049,0.3921383679574,-3.54976703081743
"9",-3.10769439036528,0.332628375688354,-8.41805382069741
"10",-1.37633454213563,1.19715626875167,-3.92276473369698
"11",0.261324443833863,2.23299485963723,-3.64910738148361
"12",0.151285622745455,1.97258097627475,-3.42151483183761
"13",-0.101921735039474,7.04607720303177,-4.89186808061256
"14",-0.387897933595494,2.61999808015575,-3.50260473356599
"15",-0.058225603219021,0.95640278978546,-2.99968246584744
"16",-0.571680203814149,1.17726312993241,-3.13665248716591
"17",0.419292315520677,0.990959653691728,-3.19891593130038
"18",0.545928055750762,1.06261394495685,-3.27509450250908
"19",-0.0968916351263897,0.999655119099239,-2.99166460157911
"20",-0.163797656156491,1.49712490226497,-3.06282601238861
"21",0.00474607830411239,0.363378728430467,-3.51786708405341
"22",-1.09481674642926,0.241085121770604,-4.59839229237615
"23",-0.9892941342666,2.67594421125785,-3.94100855709879
"24",-0.150272487425657,1.43256730764599,-3.04680908117376
"25",0.158942860817103,0.280328692366393,-3.83847624148103
"26",0.639859450058803,0.803034235890105,-3.3161173192704
"27",0.29327693717476,0.530433468002467,-3.29157263747083
"28",-0.763016709322968,0.275036809021275,-4.10999606956086
"29",-0.948122303267693,0.092594253643305,-6.27442203624195
"30",-2.3158131253096,0.13401720391359,-7.69305963334775
"31",-0.262848678218843,1.02063531409989,-3.00192254795212
"32",-0.277135079325654,0.375941899386644,-3.50103615569114
"33",-0.50760308246904,0.376175461377171,-3.58867373429938
"34",0.162054797534066,1.74066915777128,-3.32571895446108
"35",-1.04739572075978,0.426278355908688,-3.89176376980805
"36",0.183217650828575,0.560295731317791,-3.22621868107363
"37",-0.892445917122877,1.37849307096723,-3.40688500045879
"38",-1.53808871061976,3.30407076610928,-4.88504315326624
"39",-0.89917708443828,0.861458762258122,-3.381541124613
"40",0.454771008020335,1.09449679761464,-3.23487395987924
"41",0.512776399256291,0.505532358428671,-3.41326077573772
"42",-0.75629540698658,1.13380041183088,-3.2543549183938
"43",-1.27441407036582,0.30963191863846,-4.4835952348123
"44",1.20844721470016,1.08536931126943,-3.86458271380386
"45",-1.57347966689528,0.351139594601769,-4.76820375130591
"46",-1.48079454596498,0.877448544277905,-4.07068234876309
"47",0.0738475870135349,0.0662251116420171,-6.68866159505376
"48",-0.21127087341168,0.524639528600128,-3.21230077313626
"49",-0.441146063652425,2.0674536533488,-3.31763770120466
